epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,228.985,0.72381,0.91871,0.28548,0.4955,0.89788,0.99469,1,0.9923,0.82982,0.99469,1,0.9923,0.85965,0.65981,0.56837,0.06478,0.38974,0.83248,0.000775822,0.000775822,0.000775822
56,232.446,0.76157,0.90949,0.28865,0.49752,0.91821,0.99464,1,0.9921,0.81897,0.99464,1,0.9921,0.86785,0.69036,0.55929,0.06365,0.38262,0.83572,0.000759318,0.000759318,0.000759318
57,236.422,0.76907,0.95013,0.29776,0.49301,0.91817,0.99397,1,0.9932,0.82815,0.99397,1,0.9932,0.86677,0.6647,0.57895,0.06143,0.3819,0.83655,0.000742815,0.000742815,0.000742815
58,240.968,0.76744,0.87308,0.25351,0.50124,0.90174,0.99459,1,0.99415,0.83108,0.99459,1,0.99415,0.85976,0.65437,0.55825,0.06374,0.37217,0.83102,0.000726312,0.000726312,0.000726312
59,244.445,0.74645,0.88314,0.26497,0.49001,0.89902,0.99461,1,0.99385,0.83284,0.99461,1,0.99385,0.86718,0.67354,0.54973,0.06481,0.39056,0.83635,0.000709809,0.000709809,0.000709809
60,248.025,0.75108,0.89772,0.27342,0.50273,0.90548,0.9946,1,0.9938,0.82962,0.9946,1,0.9938,0.8797,0.65703,0.53309,0.06434,0.3773,0.8358,0.000693305,0.000693305,0.000693305
61,253.091,0.75541,0.88945,0.2752,0.48391,0.9133,0.99457,1,0.9935,0.83526,0.99457,1,0.9935,0.87658,0.6668,0.53051,0.0619,0.36865,0.83444,0.000676802,0.000676802,0.000676802
62,256.902,0.76764,0.88351,0.27939,0.48915,0.90625,0.99284,1,0.99345,0.82183,0.99284,1,0.99345,0.87112,0.68357,0.54348,0.06316,0.3747,0.84289,0.000660299,0.000660299,0.000660299
63,260.537,0.73944,0.84709,0.29223,0.48363,0.90026,0.99309,1,0.9944,0.82751,0.99309,1,0.9944,0.86436,0.67723,0.53449,0.06057,0.37137,0.83678,0.000643795,0.000643795,0.000643795
64,264.838,0.75535,0.82633,0.26944,0.48108,0.90513,0.99462,1,0.9946,0.83,0.99462,1,0.9946,0.8768,0.67851,0.52822,0.05921,0.3729,0.83772,0.000627292,0.000627292,0.000627292
